month,seed,starting_customers,new_customers,churned_customers,ending_customers,ad_spend,actual_cac,price,gross_revenue,cogs,fixed_cost,total_cost,operating_profit,cash_balance,ltv_estimate,churn_rate,market_difficulty,profitability_margin,arm,gm_trust,fc_trust,pm_trust,om_trust,ceo_trust
1,1234,0,24,0,24,3000.0,124.71,79.0,1896.0,528.0,5000.0,8528.0,-6632.0,43368.0,863.64,0.066,2.71,-1.9156,Arm A: Control,0.5,0.5,0.5,0.5,0.5
2,1234,24,23,1,46,3000.0,129.63,79.0,3634.0,1012.0,5000.0,9012.0,-5378.0,37990.0,863.64,0.066,2.71,-0.6544,Arm A: Control,0.5,0.5,0.5,0.5,0.5
3,1234,46,26,3,69,3000.0,114.07,79.0,5451.0,1518.0,8000.0,12518.0,-7067.0,30923.0,863.64,0.066,2.71,-0.7461,Arm A: Control,0.5,0.5,0.5,0.5,0.5
4,1234,69,25,4,90,3000.0,116.37,79.0,7110.0,1980.0,8000.0,12980.0,-5870.0,25053.0,863.64,0.066,2.71,-0.4037,Arm A: Control,0.5,0.5,0.5,0.5,0.5
5,1234,90,24,5,109,3000.0,122.48,79.0,8611.0,2398.0,8000.0,13398.0,-4787.0,20266.0,863.64,0.066,2.71,-0.2075,Arm A: Control,0.5,0.5,0.5,0.5,0.5
6,1234,109,23,7,125,3000.0,126.63,79.0,9875.0,2750.0,8000.0,13750.0,-3875.0,16391.0,863.64,0.066,2.71,-0.0886,Arm A: Control,0.5,0.5,0.5,0.5,0.5
7,1234,125,39,8,156,5000.0,127.69,79.0,12324.0,3432.0,12000.0,20432.0,-8108.0,8283.0,863.64,0.066,2.71,-0.2522,Arm A: Control,0.5,0.5,0.5,0.5,0.5
8,1234,156,37,10,183,5000.0,132.49,79.0,14457.0,4026.0,12000.0,21026.0,-6569.0,1714.0,863.64,0.066,2.71,-0.1085,Arm A: Control,0.5,0.5,0.5,0.5,0.5
9,1234,183,39,12,210,5000.0,127.23,79.0,16590.0,4620.0,12000.0,21620.0,-5030.0,-3316.0,863.64,0.066,2.71,-0.0018,Arm A: Control,0.5,0.5,0.5,0.5,0.5
10,1234,210,28,13,225,5000.0,175.0,79.0,17775.0,4950.0,12000.0,21950.0,-4175.0,-4175.0,863.64,0.066,2.71,0.0464,Arm A: Control,0.5,0.5,0.5,0.5,0.5
11,1234,225,27,14,238,5000.0,184.65,79.0,18802.0,5236.0,12000.0,22236.0,-3434.0,-7609.0,863.64,0.066,2.71,0.0833,Arm A: Control,0.5,0.5,0.5,0.5,0.5
12,1234,238,26,15,249,5000.0,186.53,79.0,19671.0,5478.0,12000.0,22478.0,-2807.0,-10416.0,863.64,0.066,2.71,0.1115,Arm A: Control,0.5,0.5,0.5,0.5,0.5
13,1234,249,26,16,259,5000.0,188.52,79.0,20461.0,5698.0,12000.0,22698.0,-2237.0,-12653.0,863.64,0.066,2.71,0.135,Arm A: Control,0.5,0.5,0.5,0.5,0.5
14,1234,259,26,17,268,5000.0,185.84,79.0,21172.0,5896.0,12000.0,22896.0,-1724.0,-14377.0,863.64,0.066,2.71,0.1547,Arm A: Control,0.5,0.5,0.5,0.5,0.5
15,1234,268,25,17,276,5000.0,196.86,79.0,21804.0,6072.0,12000.0,23072.0,-1268.0,-15645.0,863.64,0.066,2.71,0.1712,Arm A: Control,0.5,0.5,0.5,0.5,0.5
16,1234,276,26,18,284,5000.0,192.13,79.0,22436.0,6248.0,12000.0,23248.0,-812.0,-16457.0,863.64,0.066,2.71,0.1867,Arm A: Control,0.5,0.5,0.5,0.5,0.5
17,1234,284,26,18,292,5000.0,186.19,79.0,23068.0,6424.0,12000.0,23424.0,-356.0,-16813.0,863.64,0.066,2.71,0.2013,Arm A: Control,0.5,0.5,0.5,0.5,0.5
18,1234,292,26,19,299,5000.0,189.58,79.0,23621.0,6578.0,12000.0,23578.0,43.0,-16770.0,863.64,0.066,2.71,0.2135,Arm A: Control,0.5,0.5,0.5,0.5,0.5
19,1234,299,29,19,309,6000.0,205.58,79.0,24411.0,6798.0,15000.0,27798.0,-3387.0,-20157.0,863.64,0.066,2.71,0.107,Arm A: Control,0.5,0.5,0.5,0.5,0.5
20,1234,309,30,20,319,6000.0,196.21,79.0,25201.0,7018.0,15000.0,28018.0,-2817.0,-22974.0,863.64,0.066,2.71,0.1263,Arm A: Control,0.5,0.5,0.5,0.5,0.5
21,1234,319,30,21,328,6000.0,199.94,79.0,25912.0,7216.0,15000.0,28216.0,-2304.0,-25278.0,863.64,0.066,2.71,0.1426,Arm A: Control,0.5,0.5,0.5,0.5,0.5
22,1234,328,29,21,336,6000.0,206.78,79.0,26544.0,7392.0,15000.0,28392.0,-1848.0,-27126.0,863.64,0.066,2.71,0.1564,Arm A: Control,0.5,0.5,0.5,0.5,0.5
23,1234,336,29,22,343,6000.0,200.22,79.0,27097.0,7546.0,15000.0,28546.0,-1449.0,-28575.0,863.64,0.066,2.71,0.168,Arm A: Control,0.5,0.5,0.5,0.5,0.5
24,1234,343,27,22,348,6000.0,219.16,79.0,27492.0,7656.0,15000.0,28656.0,-1164.0,-29739.0,863.64,0.066,2.71,0.1759,Arm A: Control,0.5,0.5,0.5,0.5,0.5
25,1234,348,28,22,354,6000.0,211.42,79.0,27966.0,7788.0,15000.0,28788.0,-822.0,-30561.0,863.64,0.066,2.71,0.1852,Arm A: Control,0.5,0.5,0.5,0.5,0.5
26,1234,354,28,23,359,6000.0,213.56,79.0,28361.0,7898.0,15000.0,28898.0,-537.0,-31098.0,863.64,0.066,2.71,0.1926,Arm A: Control,0.5,0.5,0.5,0.5,0.5
27,1234,359,29,23,365,6000.0,205.71,79.0,28835.0,8030.0,15000.0,29030.0,-195.0,-31293.0,863.64,0.066,2.71,0.2013,Arm A: Control,0.5,0.5,0.5,0.5,0.5
28,1234,365,28,24,369,6000.0,211.83,79.0,29151.0,8118.0,15000.0,29118.0,33.0,-31260.0,863.64,0.066,2.71,0.207,Arm A: Control,0.5,0.5,0.5,0.5,0.5
29,1234,369,27,24,372,6000.0,221.11,79.0,29388.0,8184.0,15000.0,29184.0,204.0,-31056.0,863.64,0.066,2.71,0.2111,Arm A: Control,0.5,0.5,0.5,0.5,0.5
30,1234,372,28,24,376,6000.0,211.37,79.0,29704.0,8272.0,15000.0,29272.0,432.0,-30624.0,863.64,0.066,2.71,0.2165,Arm A: Control,0.5,0.5,0.5,0.5,0.5
31,1234,376,26,24,378,6000.0,224.98,79.0,29862.0,8316.0,15000.0,29316.0,546.0,-30078.0,863.64,0.066,2.71,0.2192,Arm A: Control,0.5,0.5,0.5,0.5,0.5
32,1234,378,26,24,380,6000.0,225.45,79.0,30020.0,8360.0,15000.0,29360.0,660.0,-29418.0,863.64,0.066,2.71,0.2219,Arm A: Control,0.5,0.5,0.5,0.5,0.5
33,1234,380,26,25,381,6000.0,224.12,79.0,30099.0,8382.0,15000.0,29382.0,717.0,-28701.0,863.64,0.066,2.71,0.2232,Arm A: Control,0.5,0.5,0.5,0.5,0.5
34,1234,381,27,25,383,6000.0,221.33,79.0,30257.0,8426.0,15000.0,29426.0,831.0,-27870.0,863.64,0.066,2.71,0.2258,Arm A: Control,0.5,0.5,0.5,0.5,0.5
35,1234,383,26,25,384,6000.0,225.97,79.0,30336.0,8448.0,15000.0,29448.0,888.0,-26982.0,863.64,0.066,2.71,0.2271,Arm A: Control,0.5,0.5,0.5,0.5,0.5
36,1234,384,25,25,384,6000.0,239.18,79.0,30336.0,8448.0,15000.0,29448.0,888.0,-26094.0,863.64,0.066,2.71,0.2271,Arm A: Control,0.5,0.5,0.5,0.5,0.5
1,1235,0,7,0,7,3000.0,383.59,79.0,553.0,154.0,5000.0,8154.0,-7601.0,42399.0,863.64,0.066,2.56,-8.3201,Arm A: Control,0.5,0.5,0.5,0.5,0.5
2,1235,7,7,0,14,3000.0,390.53,79.0,1106.0,308.0,5000.0,8308.0,-7202.0,35197.0,863.64,0.066,2.56,-3.7993,Arm A: Control,0.5,0.5,0.5,0.5,0.5
3,1235,14,7,0,21,3000.0,387.74,79.0,1659.0,462.0,5000.0,8462.0,-6803.0,28394.0,863.64,0.066,2.56,-2.2923,Arm A: Control,0.5,0.5,0.5,0.5,0.5
4,1235,21,7,1,27,3000.0,389.37,79.0,2133.0,594.0,5000.0,8594.0,-6461.0,21933.0,863.64,0.066,2.56,-1.6226,Arm A: Control,0.5,0.5,0.5,0.5,0.5
5,1235,27,7,1,33,3000.0,407.57,79.0,2607.0,726.0,5000.0,8726.0,-6119.0,15814.0,863.64,0.066,2.56,-1.1964,Arm A: Control,0.5,0.5,0.5,0.5,0.5
6,1235,33,7,2,38,3000.0,405.9,79.0,3002.0,836.0,5000.0,8836.0,-5834.0,9980.0,863.64,0.066,2.56,-0.944,Arm A: Control,0.5,0.5,0.5,0.5,0.5
7,1235,38,12,2,48,5000.0,413.72,79.0,3792.0,1056.0,5000.0,11056.0,-7264.0,2716.0,863.64,0.066,2.56,-0.597,Arm A: Control,0.5,0.5,0.5,0.5,0.5
8,1235,48,12,3,57,5000.0,408.96,79.0,4503.0,1254.0,8000.0,14254.0,-9751.0,-7035.0,863.64,0.066,2.56,-1.0551,Arm A: Control,0.5,0.5,0.5,0.5,0.5
9,1235,57,11,3,65,5000.0,425.86,79.0,5135.0,1430.0,8000.0,14430.0,-9295.0,-9295.0,863.64,0.066,2.56,-0.8364,Arm A: Control,0.5,0.5,0.5,0.5,0.5
10,1235,65,27,4,88,5000.0,180.56,79.0,6952.0,1936.0,8000.0,14936.0,-7984.0,-17279.0,863.64,0.066,2.56,-0.4292,Arm A: Control,0.5,0.5,0.5,0.5,0.5
11,1235,88,29,5,112,5000.0,169.84,79.0,8848.0,2464.0,8000.0,15464.0,-6616.0,-23895.0,863.64,0.066,2.56,-0.1826,Arm A: Control,0.5,0.5,0.5,0.5,0.5
12,1235,112,28,7,133,5000.0,177.88,79.0,10507.0,2926.0,8000.0,15926.0,-5419.0,-29314.0,863.64,0.066,2.56,-0.0399,Arm A: Control,0.5,0.5,0.5,0.5,0.5
13,1235,133,27,8,152,5000.0,178.79,79.0,12008.0,3344.0,12000.0,20344.0,-8336.0,-37650.0,863.64,0.066,2.56,-0.2778,Arm A: Control,0.5,0.5,0.5,0.5,0.5
14,1235,152,29,10,171,5000.0,171.96,79.0,13509.0,3762.0,12000.0,20762.0,-7253.0,-44903.0,863.64,0.066,2.56,-0.1668,Arm A: Control,0.5,0.5,0.5,0.5,0.5
15,1235,171,28,11,188,5000.0,176.89,79.0,14852.0,4136.0,12000.0,21136.0,-6284.0,-51187.0,863.64,0.066,2.56,-0.0865,Arm A: Control,0.5,0.5,0.5,0.5,0.5
16,1235,188,26,12,202,5000.0,188.04,79.0,15958.0,4444.0,12000.0,21444.0,-5486.0,-56673.0,863.64,0.066,2.56,-0.0305,Arm A: Control,0.5,0.5,0.5,0.5,0.5
17,1235,202,26,13,215,5000.0,188.97,79.0,16985.0,4730.0,12000.0,21730.0,-4745.0,-61418.0,863.64,0.066,2.56,0.015,Arm A: Control,0.5,0.5,0.5,0.5,0.5
18,1235,215,26,14,227,5000.0,189.81,79.0,17933.0,4994.0,12000.0,21994.0,-4061.0,-65479.0,863.64,0.066,2.56,0.0524,Arm A: Control,0.5,0.5,0.5,0.5,0.5
19,1235,227,31,14,244,6000.0,189.62,79.0,19276.0,5368.0,12000.0,23368.0,-4092.0,-69571.0,863.64,0.066,2.56,0.099,Arm A: Control,0.5,0.5,0.5,0.5,0.5
20,1235,244,31,16,259,6000.0,192.81,79.0,20461.0,5698.0,12000.0,23698.0,-3237.0,-72808.0,863.64,0.066,2.56,0.135,Arm A: Control,0.5,0.5,0.5,0.5,0.5
21,1235,259,32,17,274,6000.0,185.02,79.0,21646.0,6028.0,12000.0,24028.0,-2382.0,-75190.0,863.64,0.066,2.56,0.1671,Arm A: Control,0.5,0.5,0.5,0.5,0.5
22,1235,274,29,18,285,6000.0,201.47,79.0,22515.0,6270.0,12000.0,24270.0,-1755.0,-76945.0,863.64,0.066,2.56,0.1885,Arm A: Control,0.5,0.5,0.5,0.5,0.5
23,1235,285,29,18,296,6000.0,202.38,79.0,23384.0,6512.0,12000.0,24512.0,-1128.0,-78073.0,863.64,0.066,2.56,0.2083,Arm A: Control,0.5,0.5,0.5,0.5,0.5
24,1235,296,31,19,308,6000.0,188.17,79.0,24332.0,6776.0,15000.0,27776.0,-3444.0,-81517.0,863.64,0.066,2.56,0.105,Arm A: Control,0.5,0.5,0.5,0.5,0.5
25,1235,308,29,20,317,6000.0,201.35,79.0,25043.0,6974.0,15000.0,27974.0,-2931.0,-84448.0,863.64,0.066,2.56,0.1225,Arm A: Control,0.5,0.5,0.5,0.5,0.5
26,1235,317,30,20,327,6000.0,194.16,79.0,25833.0,7194.0,15000.0,28194.0,-2361.0,-86809.0,863.64,0.066,2.56,0.1409,Arm A: Control,0.5,0.5,0.5,0.5,0.5
27,1235,327,29,21,335,6000.0,200.89,79.0,26465.0,7370.0,15000.0,28370.0,-1905.0,-88714.0,863.64,0.066,2.56,0.1547,Arm A: Control,0.5,0.5,0.5,0.5,0.5
28,1235,335,28,22,341,6000.0,207.2,79.0,26939.0,7502.0,15000.0,28502.0,-1563.0,-90277.0,863.64,0.066,2.56,0.1647,Arm A: Control,0.5,0.5,0.5,0.5,0.5
29,1235,341,29,22,348,6000.0,205.68,79.0,27492.0,7656.0,15000.0,28656.0,-1164.0,-91441.0,863.64,0.066,2.56,0.1759,Arm A: Control,0.5,0.5,0.5,0.5,0.5
30,1235,348,29,22,355,6000.0,204.63,79.0,28045.0,7810.0,15000.0,28810.0,-765.0,-92206.0,863.64,0.066,2.56,0.1867,Arm A: Control,0.5,0.5,0.5,0.5,0.5
31,1235,355,29,23,361,6000.0,201.42,79.0,28519.0,7942.0,15000.0,28942.0,-423.0,-92629.0,863.64,0.066,2.56,0.1956,Arm A: Control,0.5,0.5,0.5,0.5,0.5
32,1235,361,28,23,366,6000.0,207.53,79.0,28914.0,8052.0,15000.0,29052.0,-138.0,-92767.0,863.64,0.066,2.56,0.2027,Arm A: Control,0.5,0.5,0.5,0.5,0.5
33,1235,366,29,24,371,6000.0,205.27,79.0,29309.0,8162.0,15000.0,29162.0,147.0,-92620.0,863.64,0.066,2.56,0.2097,Arm A: Control,0.5,0.5,0.5,0.5,0.5
34,1235,371,27,24,374,6000.0,219.66,79.0,29546.0,8228.0,15000.0,29228.0,318.0,-92302.0,863.64,0.066,2.56,0.2138,Arm A: Control,0.5,0.5,0.5,0.5,0.5
35,1235,374,28,24,378,6000.0,209.67,79.0,29862.0,8316.0,15000.0,29316.0,546.0,-91756.0,863.64,0.066,2.56,0.2192,Arm A: Control,0.5,0.5,0.5,0.5,0.5
36,1235,378,26,24,380,6000.0,222.25,79.0,30020.0,8360.0,15000.0,29360.0,660.0,-91096.0,863.64,0.066,2.56,0.2219,Arm A: Control,0.5,0.5,0.5,0.5,0.5
1,1236,0,27,0,27,3000.0,109.96,79.0,2133.0,594.0,5000.0,8594.0,-6461.0,43539.0,863.64,0.066,1.59,-1.6226,Arm A: Control,0.5,0.5,0.5,0.5,0.5
2,1236,27,27,1,53,3000.0,110.57,79.0,4187.0,1166.0,8000.0,12166.0,-7979.0,35560.0,863.64,0.066,1.59,-1.1892,Arm A: Control,0.5,0.5,0.5,0.5,0.5
3,1236,53,25,3,75,3000.0,116.45,79.0,5925.0,1650.0,8000.0,12650.0,-6725.0,28835.0,863.64,0.066,1.59,-0.6287,Arm A: Control,0.5,0.5,0.5,0.5,0.5
4,1236,75,27,4,98,3000.0,108.78,79.0,7742.0,2156.0,8000.0,13156.0,-5414.0,23421.0,863.64,0.066,1.59,-0.3118,Arm A: Control,0.5,0.5,0.5,0.5,0.5
5,1236,98,26,6,118,3000.0,113.51,79.0,9322.0,2596.0,8000.0,13596.0,-4274.0,19147.0,863.64,0.066,1.59,-0.1367,Arm A: Control,0.5,0.5,0.5,0.5,0.5
6,1236,118,27,7,138,3000.0,107.71,79.0,10902.0,3036.0,8000.0,14036.0,-3134.0,16013.0,863.64,0.066,1.59,-0.0123,Arm A: Control,0.5,0.5,0.5,0.5,0.5
7,1236,138,42,9,171,5000.0,117.46,79.0,13509.0,3762.0,12000.0,20762.0,-7253.0,8760.0,863.64,0.066,1.59,-0.1668,Arm A: Control,0.5,0.5,0.5,0.5,0.5
8,1236,171,43,11,203,5000.0,114.33,79.0,16037.0,4466.0,12000.0,21466.0,-5429.0,3331.0,863.64,0.066,1.59,-0.0268,Arm A: Control,0.5,0.5,0.5,0.5,0.5
9,1236,203,39,13,229,5000.0,126.42,79.0,18091.0,5038.0,12000.0,22038.0,-3947.0,-616.0,863.64,0.066,1.59,0.0582,Arm A: Control,0.5,0.5,0.5,0.5,0.5
10,1236,229,46,15,260,5000.0,108.39,79.0,20540.0,5720.0,12000.0,22720.0,-2180.0,-2180.0,863.64,0.066,1.59,0.1373,Arm A: Control,0.5,0.5,0.5,0.5,0.5
11,1236,260,49,17,292,5000.0,100.43,79.0,23068.0,6424.0,12000.0,23424.0,-356.0,-2536.0,863.64,0.066,1.59,0.2013,Arm A: Control,0.5,0.5,0.5,0.5,0.5
12,1236,292,45,19,318,5000.0,109.72,79.0,25122.0,6996.0,15000.0,26996.0,-1874.0,-4410.0,863.64,0.066,1.59,0.1244,Arm A: Control,0.5,0.5,0.5,0.5,0.5
13,1236,318,48,20,346,5000.0,103.75,79.0,27334.0,7612.0,15000.0,27612.0,-278.0,-4688.0,863.64,0.066,1.59,0.1728,Arm A: Control,0.5,0.5,0.5,0.5,0.5
14,1236,346,45,22,369,5000.0,111.07,79.0,29151.0,8118.0,15000.0,28118.0,1033.0,-3655.0,863.64,0.066,1.59,0.207,Arm A: Control,0.5,0.5,0.5,0.5,0.5
15,1236,369,45,24,390,5000.0,110.24,79.0,30810.0,8580.0,15000.0,28580.0,2230.0,-1425.0,863.64,0.066,1.59,0.2347,Arm A: Control,0.5,0.5,0.5,0.5,0.5
16,1236,390,45,25,410,5000.0,108.88,79.0,32390.0,9020.0,15000.0,29020.0,3370.0,1945.0,863.64,0.066,1.59,0.2584,Arm A: Control,0.5,0.5,0.5,0.5,0.5
17,1236,410,43,27,426,5000.0,113.72,79.0,33654.0,9372.0,15000.0,29372.0,4282.0,6227.0,863.64,0.066,1.59,0.2758,Arm A: Control,0.5,0.5,0.5,0.5,0.5
18,1236,426,47,28,445,5000.0,105.84,79.0,35155.0,9790.0,15000.0,29790.0,5365.0,11592.0,863.64,0.066,1.59,0.2948,Arm A: Control,0.5,0.5,0.5,0.5,0.5
19,1236,445,53,29,469,6000.0,112.64,79.0,37051.0,10318.0,15000.0,31318.0,5733.0,17325.0,863.64,0.066,1.59,0.3167,Arm A: Control,0.5,0.5,0.5,0.5,0.5
20,1236,469,51,30,490,6000.0,115.79,79.0,38710.0,10780.0,15000.0,31780.0,6930.0,24255.0,863.64,0.066,1.59,0.334,Arm A: Control,0.5,0.5,0.5,0.5,0.5
21,1236,490,49,32,507,6000.0,121.79,79.0,40053.0,11154.0,15000.0,32154.0,7899.0,32154.0,863.64,0.066,1.59,0.347,Arm A: Control,0.5,0.5,0.5,0.5,0.5
22,1236,507,53,33,527,6000.0,112.24,79.0,41633.0,11594.0,15000.0,32594.0,9039.0,41193.0,863.64,0.066,1.59,0.3612,Arm A: Control,0.5,0.5,0.5,0.5,0.5
23,1236,527,50,34,543,6000.0,119.28,79.0,42897.0,11946.0,15000.0,32946.0,9951.0,51144.0,863.64,0.066,1.59,0.3718,Arm A: Control,0.5,0.5,0.5,0.5,0.5
24,1236,543,49,35,557,6000.0,120.94,79.0,44003.0,12254.0,15000.0,33254.0,10749.0,61893.0,863.64,0.066,1.59,0.3806,Arm A: Control,0.5,0.5,0.5,0.5,0.5
25,1236,557,51,36,572,6000.0,116.93,79.0,45188.0,12584.0,15000.0,33584.0,11604.0,73497.0,863.64,0.066,1.59,0.3896,Arm A: Control,0.5,0.5,0.5,0.5,0.5
26,1236,572,48,37,583,6000.0,123.49,79.0,46057.0,12826.0,15000.0,33826.0,12231.0,85728.0,863.64,0.066,1.59,0.3958,Arm A: Control,0.5,0.5,0.5,0.5,0.5
27,1236,583,49,38,594,6000.0,120.79,79.0,46926.0,13068.0,15000.0,34068.0,12858.0,98586.0,863.64,0.066,1.59,0.4019,Arm A: Control,0.5,0.5,0.5,0.5,0.5
28,1236,594,49,39,604,6000.0,120.9,79.0,47716.0,13288.0,18000.0,37288.0,10428.0,109014.0,863.64,0.066,1.59,0.3443,Arm A: Control,0.5,0.5,0.5,0.5,0.5
29,1236,604,48,39,613,6000.0,124.45,79.0,48427.0,13486.0,18000.0,37486.0,10941.0,119955.0,863.64,0.066,1.59,0.3498,Arm A: Control,0.5,0.5,0.5,0.5,0.5
30,1236,613,44,40,617,6000.0,135.96,79.0,48743.0,13574.0,18000.0,37574.0,11169.0,131124.0,863.64,0.066,1.59,0.3522,Arm A: Control,0.5,0.5,0.5,0.5,0.5
31,1236,617,45,40,622,6000.0,131.99,79.0,49138.0,13684.0,18000.0,37684.0,11454.0,142578.0,863.64,0.066,1.59,0.3552,Arm A: Control,0.5,0.5,0.5,0.5,0.5
32,1236,622,46,41,627,6000.0,129.15,79.0,49533.0,13794.0,18000.0,37794.0,11739.0,154317.0,863.64,0.066,1.59,0.3581,Arm A: Control,0.5,0.5,0.5,0.5,0.5
33,1236,627,48,41,634,6000.0,123.35,79.0,50086.0,13948.0,18000.0,37948.0,12138.0,166455.0,863.64,0.066,1.59,0.3621,Arm A: Control,0.5,0.5,0.5,0.5,0.5
34,1236,634,43,41,636,6000.0,138.35,79.0,50244.0,13992.0,18000.0,37992.0,12252.0,178707.0,863.64,0.066,1.59,0.3633,Arm A: Control,0.5,0.5,0.5,0.5,0.5
35,1236,636,47,41,642,6000.0,125.66,79.0,50718.0,14124.0,18000.0,38124.0,12594.0,191301.0,863.64,0.066,1.59,0.3666,Arm A: Control,0.5,0.5,0.5,0.5,0.5
36,1236,642,44,42,644,6000.0,133.43,79.0,50876.0,14168.0,18000.0,38168.0,12708.0,204009.0,863.64,0.066,1.59,0.3677,Arm A: Control,0.5,0.5,0.5,0.5,0.5
1,1237,0,28,0,28,3000.0,104.34,79.0,2212.0,616.0,5000.0,8616.0,-6404.0,43596.0,863.64,0.066,0.59,-1.5389,Arm A: Control,0.5,0.5,0.5,0.5,0.5
2,1237,28,27,1,54,3000.0,109.8,79.0,4266.0,1188.0,8000.0,12188.0,-7922.0,35674.0,863.64,0.066,0.59,-1.1538,Arm A: Control,0.5,0.5,0.5,0.5,0.5
3,1237,54,25,3,76,3000.0,115.79,79.0,6004.0,1672.0,8000.0,12672.0,-6668.0,29006.0,863.64,0.066,0.59,-0.6109,Arm A: Control,0.5,0.5,0.5,0.5,0.5
4,1237,76,25,5,96,3000.0,117.44,79.0,7584.0,2112.0,8000.0,13112.0,-5528.0,23478.0,863.64,0.066,0.59,-0.3333,Arm A: Control,0.5,0.5,0.5,0.5,0.5
5,1237,96,28,6,118,3000.0,105.49,79.0,9322.0,2596.0,8000.0,13596.0,-4274.0,19204.0,863.64,0.066,0.59,-0.1367,Arm A: Control,0.5,0.5,0.5,0.5,0.5
6,1237,118,24,7,135,3000.0,120.42,79.0,10665.0,2970.0,8000.0,13970.0,-3305.0,15899.0,863.64,0.066,0.59,-0.0286,Arm A: Control,0.5,0.5,0.5,0.5,0.5
7,1237,135,48,8,175,5000.0,103.4,79.0,13825.0,3850.0,12000.0,20850.0,-7025.0,8874.0,863.64,0.066,0.59,-0.1465,Arm A: Control,0.5,0.5,0.5,0.5,0.5
8,1237,175,43,11,207,5000.0,115.12,79.0,16353.0,4554.0,12000.0,21554.0,-5201.0,3673.0,863.64,0.066,0.59,-0.0123,Arm A: Control,0.5,0.5,0.5,0.5,0.5
9,1237,207,43,13,237,5000.0,113.71,79.0,18723.0,5214.0,12000.0,22214.0,-3491.0,182.0,863.64,0.066,0.59,0.0806,Arm A: Control,0.5,0.5,0.5,0.5,0.5
10,1237,237,168,14,391,5000.0,29.76,79.0,30889.0,8602.0,15000.0,28602.0,2287.0,2469.0,950.0,0.06,0.59,0.2359,Arm A: Control,0.5,0.5,0.5,0.5,0.5
11,1237,391,153,23,521,5000.0,32.63,79.0,41159.0,11462.0,15000.0,31462.0,9697.0,12166.0,950.0,0.06,0.59,0.3571,Arm A: Control,0.5,0.5,0.5,0.5,0.5
12,1237,521,105,34,592,5000.0,47.38,79.0,46768.0,13024.0,15000.0,33024.0,13744.0,25910.0,863.64,0.066,0.59,0.4008,Arm A: Control,0.5,0.5,0.5,0.5,0.5
13,1237,592,121,39,674,5000.0,41.0,79.0,53246.0,14828.0,18000.0,37828.0,15418.0,41328.0,863.64,0.066,0.59,0.3835,Arm A: Control,0.5,0.5,0.5,0.5,0.5
14,1237,674,124,44,754,5000.0,40.12,79.0,59566.0,16588.0,18000.0,39588.0,19978.0,61306.0,863.64,0.066,0.59,0.4193,Arm A: Control,0.5,0.5,0.5,0.5,0.5
15,1237,754,100,49,805,5000.0,49.74,79.0,63595.0,17710.0,18000.0,40710.0,22885.0,84191.0,863.64,0.066,0.59,0.4385,Arm A: Control,0.5,0.5,0.5,0.5,0.5
16,1237,805,155,48,912,5000.0,32.2,79.0,72048.0,20064.0,18000.0,43064.0,28984.0,113175.0,950.0,0.06,0.59,0.4717,Arm A: Control,0.5,0.5,0.5,0.5,0.5
17,1237,912,122,60,974,5000.0,40.84,79.0,76946.0,21428.0,18000.0,44428.0,32518.0,145693.0,863.64,0.066,0.59,0.4876,Arm A: Control,0.5,0.5,0.5,0.5,0.5
18,1237,974,115,64,1025,5000.0,43.17,79.0,80975.0,22550.0,18000.0,45550.0,35425.0,181118.0,863.64,0.066,0.59,0.4992,Arm A: Control,0.5,0.5,0.5,0.5,0.5
19,1237,1025,148,67,1106,6000.0,40.42,79.0,87374.0,24332.0,18000.0,48332.0,39042.0,220160.0,863.64,0.066,0.59,0.5155,Arm A: Control,0.5,0.5,0.5,0.5,0.5
20,1237,1106,158,72,1192,6000.0,37.92,79.0,94168.0,26224.0,18000.0,50224.0,43944.0,264104.0,863.64,0.066,0.59,0.5304,Arm A: Control,0.5,0.5,0.5,0.5,0.5
21,1237,1192,123,78,1237,6000.0,48.71,79.0,97723.0,27214.0,18000.0,51214.0,46509.0,310613.0,863.64,0.066,0.59,0.5373,Arm A: Control,0.5,0.5,0.5,0.5,0.5
22,1237,1237,142,81,1298,6000.0,42.17,79.0,102542.0,28556.0,18000.0,52556.0,49986.0,360599.0,863.64,0.066,0.59,0.546,Arm A: Control,0.5,0.5,0.5,0.5,0.5
23,1237,1298,164,85,1377,6000.0,36.57,79.0,108783.0,30294.0,18000.0,54294.0,54489.0,415088.0,863.64,0.066,0.59,0.5561,Arm A: Control,0.5,0.5,0.5,0.5,0.5
24,1237,1377,130,90,1417,6000.0,46.03,79.0,111943.0,31174.0,18000.0,55174.0,56769.0,471857.0,863.64,0.066,0.59,0.5607,Arm A: Control,0.5,0.5,0.5,0.5,0.5
25,1237,1417,127,93,1451,6000.0,47.13,79.0,114629.0,31922.0,18000.0,55922.0,58707.0,530564.0,863.64,0.066,0.59,0.5645,Arm A: Control,0.5,0.5,0.5,0.5,0.5
26,1237,1451,143,95,1499,6000.0,41.7,79.0,118421.0,32978.0,18000.0,56978.0,61443.0,592007.0,863.64,0.066,0.59,0.5695,Arm A: Control,0.5,0.5,0.5,0.5,0.5
27,1237,1499,115,98,1516,6000.0,51.8,79.0,119764.0,33352.0,18000.0,57352.0,62412.0,654419.0,863.64,0.066,0.59,0.5712,Arm A: Control,0.5,0.5,0.5,0.5,0.5
