run_id,seed,month,simulated_date,source_id,market_state_hash,visitors,leads,trial_orders,paid_subscribers,active_subscribers,churned_subscribers,CAC,LTV_estimate,ARPU,price,gross_revenue,COGS,shipping_total,ad_spend,support_cost,refund_dollars,gross_margin,operating_profit,cash_balance,NPS,stockout_rate,refund_rate,conversion_rate,churn,support_tickets
pawdent-d013b9f2-b8f6-4251-9bac-5869f66d447e,9999,1,2027-01-01,market_oracle_monthly_actual:9999:1,dd14c28764d3688e28acdfd268dd83add0d7c24c3b12ff99e2fb2964bcaa6657,1658,397,89,71,71,0,42.25,47.31,23.08,24.0,1704.0,1042.99,310.41,3000.0,15.75,48.0,302.6,-20713.15,229286.85,47,0.0,0.0383,0.0541,0.1004,3
pawdent-d013b9f2-b8f6-4251-9bac-5869f66d447e,9999,2,2027-02-01,market_oracle_monthly_actual:9999:2,920c6b5d6a4d2074d27ec6e683603b51264f4a182cca13f4676641a0a41e4522,1577,378,86,69,133,7,40.51,45.32,22.48,23.72,3154.76,1947.12,568.15,2794.95,42.0,142.32,497.17,-20339.78,208947.07,44,0.05,0.0521,0.055,0.1006,8
pawdent-d013b9f2-b8f6-4251-9bac-5869f66d447e,9999,3,2027-03-01,market_oracle_monthly_actual:9999:3,65e583bdae4ae320bf011636c09442ce58cfd8dcd12081faf54cad431d54d0af,1732,415,83,65,187,11,42.32,52.94,22.78,23.6,4578.4,2758.68,900.07,2750.9,52.5,141.6,778.05,-20025.35,188921.72,53,0.0202,0.0347,0.0481,0.0864,10
pawdent-d013b9f2-b8f6-4251-9bac-5869f66d447e,9999,4,2027-04-01,market_oracle_monthly_actual:9999:4,32bffc3b5546a23db4476bba44b9a3b09a5f819a77bffed61a9f1a7d19fd5541,4656,1117,238,183,352,18,44.33,69.14,25.49,26.43,9779.1,5487.1,1655.74,8112.51,105.0,343.59,2292.67,-23924.84,164996.88,52,0.0,0.0355,0.0512,0.0994,20
pawdent-d013b9f2-b8f6-4251-9bac-5869f66d447e,9999,5,2027-05-01,market_oracle_monthly_actual:9999:5,ddefa17f4134aa3addb61cd9ecdce67222820b6c39aba86f1d322d4df9b2048c,4921,1181,231,190,507,35,41.92,70.65,25.08,26.3,14254.6,7924.04,2319.51,7964.29,136.5,657.5,3353.55,-22747.24,142249.64,51,0.0,0.0466,0.047,0.0999,26
pawdent-d013b9f2-b8f6-4251-9bac-5869f66d447e,9999,6,2027-06-01,market_oracle_monthly_actual:9999:6,df85f9fe22f2c756a3834122911d83166ee0ba0abc89efd3668182a96c923322,2747,659,163,134,588,53,32.07,52.06,23.86,24.79,15890.39,9390.65,2835.23,4297.5,183.75,594.96,3069.55,-19411.7,122837.94,59,0.0,0.0376,0.0596,0.1057,35
pawdent-d013b9f2-b8f6-4251-9bac-5869f66d447e,9999,7,2027-07-01,market_oracle_monthly_actual:9999:7,21e71885278a47568221fd7c734993724cf0aaeaf173f4c4b7d7f9a3ea3c3295,4221,1013,214,172,708,52,43.52,37.26,24.03,24.79,18840.4,12722.4,3486.76,7484.81,199.5,570.17,2061.07,-37623.24,85214.7,55,0.0,0.0308,0.0509,0.0901,38
pawdent-d013b9f2-b8f6-4251-9bac-5869f66d447e,9999,8,2027-08-01,market_oracle_monthly_actual:9999:8,4dc551a57ff39589d051142cadc111c25831fd989e2645dfeeaec482fb08486e,4772,1145,253,199,844,63,43.62,66.77,23.84,24.79,22484.53,12888.47,3939.91,8679.64,252.0,842.86,4813.29,-27158.35,58056.35,61,0.0,0.0382,0.0531,0.0898,48
pawdent-d013b9f2-b8f6-4251-9bac-5869f66d447e,9999,9,2027-09-01,market_oracle_monthly_actual:9999:9,2f6c780da9f853b6b2b58664cb29da2ffcd67bb34e98317548433890195707b4,5221,1253,292,229,1005,68,43.1,68.43,23.77,24.79,26599.67,15419.01,4951.62,9870.88,299.25,1065.97,5163.07,-28047.06,30009.29,63,0.0,0.041,0.056,0.0813,57
pawdent-d013b9f2-b8f6-4251-9bac-5869f66d447e,9999,10,2027-10-01,market_oracle_monthly_actual:9999:10,836e85c0091e6c546786d674e51545cab4790c7d6f68ed32f82f32ace757b239,4825,1158,249,194,1129,70,57.04,84.37,23.95,24.79,29723.21,17169.68,5198.16,11066.06,278.25,991.6,6363.77,-28020.54,1988.75,67,0.0,0.0341,0.0518,0.0702,53
pawdent-d013b9f2-b8f6-4251-9bac-5869f66d447e,9999,11,2027-11-01,market_oracle_monthly_actual:9999:11,2c0bd556ced1275d1c97aee88e9024265ea68b56a91210ee8ff8999979a806db,5508,1321,351,282,1324,87,43.47,78.21,24.11,24.79,34978.69,19895.1,6332.42,12259.81,325.5,942.02,7809.15,-27816.16,-25827.41,60,0.0,0.0274,0.0638,0.0771,62
pawdent-d013b9f2-b8f6-4251-9bac-5869f66d447e,9999,12,2027-12-01,market_oracle_monthly_actual:9999:12,2e73802fbec2ae455a87e9a1641c9eebf586a75f7407f7612cb7fe24ef98f7a2,5793,1390,324,266,1480,110,50.58,75.82,24.03,24.79,39416.1,22196.4,6827.75,13454.28,378.0,1189.92,9202.03,-27670.25,-53497.66,61,0.0,0.0306,0.056,0.0836,72
pawdent-d013b9f2-b8f6-4251-9bac-5869f66d447e,9999,13,2028-01-01,market_oracle_monthly_actual:9999:13,f2f78f1aa330bd20c5a0fa4d1868b1c567008ff3fbf08226df8355c6b3cf9012,3293,790,215,182,1544,118,32.19,70.27,24.01,24.79,39887.11,23346.59,7170.56,5858.93,420.0,1239.5,8130.46,-21188.47,-74686.13,61,0.0319,0.0316,0.0655,0.0803,80
pawdent-d013b9f2-b8f6-4251-9bac-5869f66d447e,9999,14,2028-02-01,market_oracle_monthly_actual:9999:14,61aa539af016f3396a063dbf1e2098d7db1687705e312f9b19b618ca2dc3fef6,3526,846,221,175,1602,117,34.1,71.06,23.89,24.79,42614.01,25114.59,7886.42,5967.22,483.0,1536.98,8076.02,-21414.2,-96100.33,72,0.0,0.0362,0.0627,0.0758,92
pawdent-d013b9f2-b8f6-4251-9bac-5869f66d447e,9999,15,2028-03-01,market_oracle_monthly_actual:9999:15,23c13545ae79b437dfdd1f31b7e100696861e2266677ff26b7c295ca1e297d88,3735,896,229,187,1663,126,32.42,75.01,24.03,24.79,44349.31,25904.72,7546.9,6061.77,451.5,1338.66,9559.03,-19994.24,-116094.57,67,0.0,0.0307,0.0614,0.0787,86
pawdent-d013b9f2-b8f6-4251-9bac-5869f66d447e,9999,16,2028-04-01,market_oracle_monthly_actual:9999:16,94e68fe1c088d57cec524a4f62ccdc853c7b9461019abadb703eb4c7fb8d7613,3650,876,216,178,1726,115,34.51,81.76,23.97,24.79,45638.39,26252.66,8529.15,6142.56,430.5,1487.4,9369.18,-20243.88,-136338.45,73,0.0,0.0331,0.0594,0.0697,82
pawdent-d013b9f2-b8f6-4251-9bac-5869f66d447e,9999,17,2028-05-01,market_oracle_monthly_actual:9999:17,4fee7306f8b8a3f9681d9c4d90633e1b6134ddba463db02da00fd1834b84a0fd,3361,806,220,178,1805,99,36.15,97.89,23.94,24.79,47200.16,27246.24,8811.25,6434.79,435.75,1611.35,9531.32,-20379.22,-156717.67,73,0.0,0.0344,0.0656,0.0577,83
pawdent-d013b9f2-b8f6-4251-9bac-5869f66d447e,9999,18,2028-06-01,market_oracle_monthly_actual:9999:18,cd560af77539db8f35bf04c37fc151afbb38e67c3caf482a30c0915063f121ce,3335,800,220,187,1877,115,36.08,84.69,24.09,24.79,49381.68,29063.28,9237.98,6747.65,488.25,1388.24,9692.18,-20583.72,-177301.39,67,0.0,0.0282,0.066,0.0638,93
pawdent-d013b9f2-b8f6-4251-9bac-5869f66d447e,9999,19,2028-07-01,market_oracle_monthly_actual:9999:19,d42ac8aa0397ea548ff2abc3fb3d937acaeb0637c3e786ae7165c25107fa3789,3661,878,229,195,1940,132,39.54,84.39,24.1,24.79,51216.14,29667.76,8918.33,7710.29,498.75,1413.03,11217.02,-31552.02,-208853.41,70,0.0029,0.0278,0.0626,0.0704,95
pawdent-d013b9f2-b8f6-4251-9bac-5869f66d447e,9999,20,2028-08-01,market_oracle_monthly_actual:9999:20,955e7b002766e65e4ce8a62d343be9bbb01250590d549568c8425ab837f30293,4522,1085,286,231,2049,122,39.28,93.72,24.08,24.79,51761.52,30046.32,9025.33,9073.45,519.75,1462.61,11227.26,-32925.94,-241779.35,76,0.0382,0.0286,0.0634,0.063,99
pawdent-d013b9f2-b8f6-4251-9bac-5869f66d447e,9999,21,2028-09-01,market_oracle_monthly_actual:9999:21,3a79550374a2d97549c5220e1fb38e86bd3689d32ee84e056cfe9b880a3f7dae,5281,1267,308,256,2181,124,41.65,86.48,24.07,24.79,55777.5,33457.5,10098.0,10661.81,483.0,1611.35,10610.65,-35094.16,-276873.51,74,0.0239,0.029,0.0584,0.061,92
pawdent-d013b9f2-b8f6-4251-9bac-5869f66d447e,9999,22,2028-10-01,market_oracle_monthly_actual:9999:22,b01f66522c4e9110d396d4be0e072edaa619c6e154634dc54a3a6987d37086d2,4779,1146,278,236,2308,109,40.05,110.35,24.19,24.79,57810.28,33907.28,10628.87,9451.64,493.5,1388.24,11885.89,-32619.25,-309492.76,75,0.0352,0.024,0.0584,0.0503,94
pawdent-d013b9f2-b8f6-4251-9bac-5869f66d447e,9999,23,2028-11-01,market_oracle_monthly_actual:9999:23,c38ec276c1684fdf3e613b36c9f154108fc683c76e9e16b282734b9a99071db0,5086,1220,305,261,2445,124,41.93,106.61,23.98,24.79,62371.64,36607.8,10816.75,10943.73,635.25,2032.78,12914.31,-33224.67,-342717.43,74,0.0206,0.0327,0.0601,0.0539,121
pawdent-d013b9f2-b8f6-4251-9bac-5869f66d447e,9999,24,2028-12-01,market_oracle_monthly_actual:9999:24,e5b268d902af5de7da3c251a1b4caabe699a82184fb1f7b02132bdc3fc66850c,6297,1511,417,339,2694,90,37.11,148.23,24.14,24.79,63883.83,37572.66,11842.37,12580.22,593.25,1660.93,12807.87,-34925.6,-377643.03,69,0.0744,0.0261,0.0663,0.0369,113
pawdent-d013b9f2-b8f6-4251-9bac-5869f66d447e,9999,25,2029-01-01,market_oracle_monthly_actual:9999:25,b79bcbeb278f6c1504fa7f59a69901e0d6484c867ac139d063fd7cc2a13cb4ae,6965,1671,440,362,2914,142,39.57,106.57,24.17,24.79,74964.96,44785.44,12694.79,14325.0,745.5,1859.25,15625.48,-34005.02,-411648.05,72,0.0105,0.0251,0.0632,0.0529,142
pawdent-d013b9f2-b8f6-4251-9bac-5869f66d447e,9999,26,2029-02-01,market_oracle_monthly_actual:9999:26,4299e1b248a53b2eedf399b7560246fb773976d3ff8a19524e0477cccd100906,8050,1932,531,457,3282,89,32.1,184.55,23.92,24.79,75510.34,44593.44,12991.12,14668.8,824.25,2652.53,15273.25,-34779.8,-446427.85,69,0.0964,0.0352,0.066,0.0308,157
pawdent-d013b9f2-b8f6-4251-9bac-5869f66d447e,9999,27,2029-03-01,market_oracle_monthly_actual:9999:27,7cca9f69a198755540f4dc5ebb86dc7097b83afc68dc9facfab8a43d2e8388e7,8289,1989,489,415,3543,154,36.11,117.51,24.3,24.79,91648.63,54863.48,15878.05,14986.81,955.5,1809.67,19097.43,-31404.88,-477832.73,78,0.0,0.0199,0.059,0.0472,182
pawdent-d013b9f2-b8f6-4251-9bac-5869f66d447e,9999,28,2029-04-01,market_oracle_monthly_actual:9999:28,e481a0c7b5863df31fad20b75abc0beed640b48b839b32303fc4e34692d201f6,9292,2230,616,509,3873,179,30.02,69.78,23.96,24.79,91152.83,57177.35,20489.51,15280.76,992.25,3049.17,10436.8,-40396.21,-518228.94,66,0.0925,0.0337,0.0664,0.0508,189
pawdent-d013b9f2-b8f6-4251-9bac-5869f66d447e,9999,29,2029-05-01,market_oracle_monthly_actual:9999:29,1da609038712eaa76cf48973437438350e28889a0a703b105de07d9cb4c577da,8918,2140,550,456,4200,129,34.11,111.06,24.24,24.79,104762.54,65587.52,23168.7,15552.37,897.75,2305.47,13700.85,-37309.27,-555538.21,71,0.0238,0.0222,0.0617,0.0333,171
pawdent-d013b9f2-b8f6-4251-9bac-5869f66d447e,9999,30,2029-06-01,market_oracle_monthly_actual:9999:30,42691816b142badd1573cad6b3059232fa139c5530b498637a421266d159c6e5,8651,2076,553,477,4478,199,33.14,112.82,23.94,24.79,108828.1,65586.6,18884.34,15806.78,950.25,3743.29,20613.87,-30703.16,-586241.37,69,0.0614,0.0345,0.064,0.0475,181
pawdent-d013b9f2-b8f6-4251-9bac-5869f66d447e,9999,31,2029-07-01,market_oracle_monthly_actual:9999:31,2b98a1cab5eb142f8a32cc2865d85cc7092de506e407404c08b4b1a8ca384f16,8376,2010,531,445,4783,140,36.05,178.59,24.24,24.79,117405.44,70471.68,19879.12,16044.0,1086.75,2578.16,24476.48,-27214.27,-613455.64,70,0.038,0.0222,0.0635,0.0313,207
pawdent-d013b9f2-b8f6-4251-9bac-5869f66d447e,9999,32,2029-08-01,market_oracle_monthly_actual:9999:32,a7c748da31333a15f74981f55d3c78f9bcb1598b87eccae63dfda6cc8d4fc371,8715,2091,524,438,5090,131,37.14,216.03,24.05,24.79,123974.79,72164.43,21122.47,16265.75,1233.75,3693.71,26994.18,-25065.32,-638520.96,69,0.0421,0.0298,0.0602,0.0276,235
pawdent-d013b9f2-b8f6-4251-9bac-5869f66d447e,9999,33,2029-09-01,market_oracle_monthly_actual:9999:33,148908bfd82b2a1d9428733b4d04ed7ab10049853f662531cbd345da25d403be,8697,2087,543,440,5301,229,37.44,127.19,24.3,24.79,132056.33,78147.09,22763.27,16473.75,1244.25,2602.95,28543.02,-23734.98,-662255.94,73,0.0367,0.0198,0.0625,0.0451,237
pawdent-d013b9f2-b8f6-4251-9bac-5869f66d447e,9999,34,2029-10-01,market_oracle_monthly_actual:9999:34,b00d17112cdeb1e4710049b78b5f0b37821f7a530665d8c05eeef99f9ef38302,7920,1900,490,423,5535,189,39.41,159.63,24.02,24.79,134609.7,78572.1,24072.87,16669.72,1176.0,4164.72,27800.01,-24605.71,-686861.65,71,0.0514,0.031,0.0619,0.0357,224
pawdent-d013b9f2-b8f6-4251-9bac-5869f66d447e,9999,35,2029-11-01,market_oracle_monthly_actual:9999:35,c4faeb41fd647685a74590d51128dc413b121c4f8b6734f17698ae2908052b15,8869,2128,452,383,5730,188,44.0,178.88,24.31,24.79,142691.24,82598.6,24343.45,16853.65,1475.25,2776.48,32972.71,-19916.19,-706777.84,68,0.0274,0.0195,0.0511,0.034,281
pawdent-d013b9f2-b8f6-4251-9bac-5869f66d447e,9999,36,2029-12-01,market_oracle_monthly_actual:9999:36,a4a8321203e023c4f8d118ad462db61bfd2668dcda95309b2f79490ffbb7d283,7980,1915,488,421,6003,148,40.44,202.7,24.22,24.77,144087.09,86789.64,26010.09,17025.55,1296.75,3195.33,28092.03,-24790.27,-731568.11,72,0.0543,0.0223,0.0612,0.0259,247
