Date,Close,Volume
2024-06-03,1100.0,1000000
2024-06-04,1091.2,1000100
2024-06-05,1084.6000000000001,1000200
2024-06-06,1080.2,1000300
2024-06-07,1078.0,1000400
2024-06-10,1078.0,1000500
2024-06-11,1080.2,1000600
2024-06-12,1084.6000000000001,1000700
2024-06-13,1091.2,1000800
2024-06-14,1100.0,1000900
2024-06-17,1089.0,1001000
2024-06-18,1080.2,1001100
2024-06-19,1073.6000000000001,1001200
2024-06-20,1069.2,1001300
2024-06-21,1067.0,1001400
2024-06-24,1067.0,1001500
2024-06-25,1069.2,1001600
2024-06-26,1073.6000000000001,1001700
2024-06-27,1080.2,1001800
2024-06-28,1089.0,1001900
2024-07-01,1078.0,1002000
2024-07-02,1069.2,1002100
2024-07-03,1062.6000000000001,1002200
2024-07-04,1058.2,1002300
2024-07-05,1056.0,1002400
2024-07-08,1056.0,1002500
2024-07-09,1058.2,1002600
2024-07-10,1062.6000000000001,1002700
2024-07-11,1069.2,1002800
2024-07-12,1078.0,1002900
2024-07-15,1067.0,1003000
2024-07-16,1058.2,1003100
2024-07-17,1051.6000000000001,1003200
2024-07-18,1047.2,1003300
2024-07-19,1045.0,1003400
2024-07-22,1045.0,1003500
2024-07-23,1047.2,1003600
2024-07-24,1051.6000000000001,1003700
2024-07-25,1058.2,1003800
2024-07-26,1067.0,1003900
2024-07-29,1056.0,1004000
2024-07-30,1047.2,1004100
2024-07-31,1040.6000000000001,1004200
2024-08-01,1036.2,1004300
2024-08-02,1034.0,1004400
2024-08-05,1034.0,1004500
2024-08-06,1036.2,1004600
2024-08-07,1040.6000000000001,1004700
2024-08-08,1047.2,1004800
2024-08-09,1056.0,1004900
2024-08-12,1045.0,1005000
2024-08-13,1036.2,1005100
2024-08-14,1029.6000000000001,1005200
2024-08-15,1025.2,1005300
2024-08-16,1023.0,1005400
2024-08-19,1023.0,1005500
2024-08-20,1025.2,1005600
2024-08-21,1029.6000000000001,1005700
2024-08-22,1036.2,1005800
2024-08-23,1045.0,1005900
2024-08-26,1034.0,1006000
2024-08-27,1025.2,1006100
2024-08-28,1018.6,1006200
2024-08-29,1014.2,1006300
2024-08-30,1012.0,1006400
2024-09-02,1012.0,1006500
2024-09-03,1014.2,1006600
2024-09-04,1018.6,1006700
2024-09-05,1025.2,1006800
2024-09-06,1034.0,1006900
2024-09-09,1023.0,1007000
2024-09-10,1014.2,1007100
2024-09-11,1007.6,1007200
2024-09-12,1003.2,1007300
2024-09-13,1001.0,1007400
2024-09-16,1001.0,1007500
2024-09-17,1003.2,1007600
2024-09-18,1007.6,1007700
2024-09-19,1014.2,1007800
2024-09-20,1023.0,1007900
2024-09-23,1012.0,1008000
2024-09-24,1003.2,1008100
2024-09-25,996.6,1008200
2024-09-26,992.2,1008300
2024-09-27,990.0,1008400
2024-09-30,990.0,1008500
2024-10-01,992.2,1008600
2024-10-02,996.6,1008700
2024-10-03,1003.2,1008800
2024-10-04,1012.0,1008900
2024-10-07,1001.0,1009000
2024-10-08,992.2,1009100
2024-10-09,985.6,1009200
2024-10-10,981.2,1009300
2024-10-11,979.0,1009400
2024-10-14,979.0,1009500
2024-10-15,981.2,1009600
2024-10-16,985.6,1009700
2024-10-17,992.2,1009800
2024-10-18,1001.0,1009900
2024-10-21,990.0,1010000
2024-10-22,981.2,1010100
2024-10-23,974.6,1010200
2024-10-24,970.2,1010300
2024-10-25,968.0,1010400
2024-10-28,968.0,1010500
2024-10-29,970.2,1010600
2024-10-30,974.6,1010700
2024-10-31,981.2,1010800
2024-11-01,990.0,1010900
2024-11-04,979.0,1011000
2024-11-05,970.2,1011100
2024-11-06,963.6,1011200
2024-11-07,959.2,1011300
2024-11-08,957.0,1011400
2024-11-11,957.0,1011500
2024-11-12,959.2,1011600
2024-11-13,963.6,1011700
2024-11-14,970.2,1011800
2024-11-15,979.0,1011900
2024-11-18,968.0,1012000
2024-11-19,959.2,1012100
2024-11-20,952.6,1012200
2024-11-21,948.2,1012300
2024-11-22,946.0,1012400
2024-11-25,946.0,1012500
2024-11-26,948.2,1012600
2024-11-27,952.6,1012700
2024-11-28,959.2,1012800
2024-11-29,968.0,1012900
2024-12-02,957.0,1013000
2024-12-03,948.2,1013100
2024-12-04,941.6,1013200
2024-12-05,937.2,1013300
2024-12-06,935.0,1013400
2024-12-09,935.0,1013500
2024-12-10,937.2,1013600
2024-12-11,941.6,1013700
2024-12-12,948.2,1013800
2024-12-13,957.0,1013900
2024-12-16,946.0,1014000
2024-12-17,937.2,1014100
2024-12-18,930.6,1014200
2024-12-19,926.2,1014300
2024-12-20,924.0,1014400
2024-12-23,924.0,1014500
2024-12-24,926.2,1014600
2024-12-25,930.6,1014700
2024-12-26,937.2,1014800
2024-12-27,946.0,1014900
2024-12-30,935.0,1015000
2024-12-31,926.2,1015100
2025-01-01,919.6,1015200
2025-01-02,915.2,1015300
2025-01-03,913.0,1015400
2025-01-06,913.0,1015500
2025-01-07,915.2,1015600
2025-01-08,919.6,1015700
2025-01-09,926.2,1015800
2025-01-10,935.0,1015900
2025-01-13,924.0,1016000
2025-01-14,915.2,1016100
2025-01-15,908.6,1016200
2025-01-16,904.2,1016300
2025-01-17,902.0,1016400
2025-01-20,902.0,1016500
2025-01-21,904.2,1016600
2025-01-22,908.6,1016700
2025-01-23,915.2,1016800
2025-01-24,924.0,1016900
2025-01-27,913.0,1017000
2025-01-28,904.2,1017100
2025-01-29,897.6,1017200
2025-01-30,893.2,1017300
2025-01-31,891.0,1017400
2025-02-03,891.0,1017500
2025-02-04,893.2,1017600
2025-02-05,897.6,1017700
2025-02-06,904.2,1017800
2025-02-07,913.0,1017900
2025-02-10,902.0,1018000
2025-02-11,893.2,1018100
2025-02-12,886.6,1018200
2025-02-13,882.2,1018300
2025-02-14,880.0,1018400
2025-02-17,880.0,1018500
2025-02-18,882.2,1018600
2025-02-19,886.6,1018700
2025-02-20,893.2,1018800
2025-02-21,902.0,1018900
2025-02-24,891.0,1019000
2025-02-25,882.2,1019100
2025-02-26,875.6,1019200
2025-02-27,871.2,1019300
2025-02-28,869.0,1019400
2025-03-03,869.0,1019500
2025-03-04,871.2,1019600
2025-03-05,875.6,1019700
2025-03-06,882.2,1019800
2025-03-07,891.0,1019900
2025-03-10,880.0,1020000
2025-03-11,871.2,1020100
2025-03-12,864.6,1020200
2025-03-13,860.2,1020300
2025-03-14,858.0,1020400
2025-03-17,858.0,1020500
2025-03-18,860.2,1020600
2025-03-19,864.6,1020700
2025-03-20,871.2,1020800
2025-03-21,880.0,1020900
2025-03-24,869.0,1021000
2025-03-25,860.2,1021100
2025-03-26,853.6,1021200
2025-03-27,849.2,1021300
2025-03-28,847.0,1021400
2025-03-31,847.0,1021500
2025-04-01,849.2,1021600
2025-04-02,853.6,1021700
2025-04-03,860.2,1021800
2025-04-04,869.0,1021900
2025-04-07,858.0,1022000
2025-04-08,849.2,1022100
2025-04-09,842.6,1022200
2025-04-10,838.2,1022300
2025-04-11,836.0,1022400
2025-04-14,836.0,1022500
2025-04-15,838.2,1022600
2025-04-16,842.6,1022700
2025-04-17,849.2,1022800
